This list contains all games supported by FinalBurn Neo.

22811 games supported in total; X = excluded from build; D = included in debug build only; NW = not working

+---------------------------------+--------+------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------------------------+-------------+-----------------------------------------------------------------+--------------------------------+-------------------------------------------------------------------------------------+
| name                            | status | full name                                                                                                                                                              | parent                  | year        | company                                                         | hardware                       | remarks                                                                             |
| ngp_neocher                     |        | Pocket Casino Series - Neo Cherry Master (Euro, Japan)                                                                                                                 |                         | 1998        | SNK                                                             | NeoGeo Pocket                  |                                                                                     |
| ngp_neocherc                    |        | Pocket Casino Series - Neo Cherry Master Color (World)                                                                                                                 |                         | 1999        | SNK                                                             | NeoGeo Pocket Color            |                                                                                     |
| ngp_neochercp                   |        | Pocket Casino Series - Neo Cherry Master Color (World, Prototype)                                                                                                      | ngp_neocherc            | 1999        | SNK                                                             | NeoGeo Pocket Color            |                                                                                     |
| ngp_neodraga                    |        | Pocket Casino Series - Neo Dragon's Wild (World, v11)                                                                                                                  | ngp_neodrag             | 1999        | SNK                                                             | NeoGeo Pocket Color            |                                                                                     |
| ngp_neodrag                     |        | Pocket Casino Series - Neo Dragon's Wild (World, v13)                                                                                                                  |                         | 1999        | SNK                                                             | NeoGeo Pocket Color            |                                                                                     |
| ngp_neomystr                    |        | Pocket Casino Series - Neo Mystery Bonus (World)                                                                                                                       |                         | 1999        | SNK                                                             | NeoGeo Pocket Color            |                                                                                     |
| pfghtj                          |        | Pocket Fighter (Japan 970904)                                                                                                                                          | sgemf                   | 1997        | Capcom                                                          | CPS2                           |                                                                                     |
| ngp_fatfury                     |        | Pocket Fighting Series - Garou Densetsu First Contact ~ Fatal Fury F-Contact (World)                                                                                   |                         | 1999        | SNK                                                             | NeoGeo Pocket Color            |                                                                                     |
| ngp_fatfuryd                    |        | Pocket Fighting Series - Garou Densetsu First Contact ~ Fatal Fury F-Contact (World, Demo)                                                                             | ngp_fatfury             | 1999        | SNK                                                             | NeoGeo Pocket Color            |                                                                                     |
| ngp_kofr1                       |        | Pocket Fighting Series - King of Fighters R-1 (Euro, Japan)                                                                                                            |                         | 1998        | SNK                                                             | NeoGeo Pocket                  |                                                                                     |
| ngp_kofr2                       |        | Pocket Fighting Series - King of Fighters R-2 (World)                                                                                                                  |                         | 1999        | SNK                                                             | NeoGeo Pocket Color            |                                                                                     |
| ngp_kofr2d2                     |        | Pocket Fighting Series - King of Fighters R-2 (World, Demo Version 2)                                                                                                  | ngp_kofr2               | 1999        | SNK                                                             | NeoGeo Pocket Color            |                                                                                     |
| ngp_kofr2d                      |        | Pocket Fighting Series - King of Fighters R-2 (World, Demo)                                                                                                            | ngp_kofr2               | 1999        | SNK                                                             | NeoGeo Pocket Color            |                                                                                     |
| ngp_samsho2                     |        | Pocket Fighting Series - Samurai Shodown! 2 (World)                                                                                                                    |                         | 1999        | SNK                                                             | NeoGeo Pocket Color            |                                                                                     |
| ngp_samsho                      |        | Pocket Fighting Series - Samurai Spirit! (Japan) ~ Samurai Shodown! (Euro)                                                                                             |                         | 1998        | SNK                                                             | NeoGeo Pocket                  |                                                                                     |
| pcktgal                         |        | Pocket Gal (Japan)                                                                                                                                                     |                         | 1987        | Data East Corporation                                           | Miscellaneous                  |                                                                                     |
| pcktgalb                        |        | Pocket Gal (Yada East bootleg)                                                                                                                                         | pcktgal                 | 1987        | bootleg                                                         | Miscellaneous                  |                                                                                     |
| pcktgalba                       |        | Pocket Gal / unknown card game                                                                                                                                         | pcktgal                 | 1987        | bootleg                                                         | Miscellaneous                  |                                                                                     |
| pcktgal2                        |        | Pocket Gal 2 (English)                                                                                                                                                 | pcktgal                 | 1989        | Data East Corporation                                           | Miscellaneous                  |                                                                                     |
| pcktgal2j                       |        | Pocket Gal 2 (Japanese)                                                                                                                                                | pcktgal                 | 1989        | Data East Corporation                                           | Miscellaneous                  |                                                                                     |
| pktgaldxa                       |        | Pocket Gal Deluxe (Asia v3.00)                                                                                                                                         | pktgaldx                | 1992        | Data East Corporation                                           | DECO IC16                      |                                                                                     |
| pktgaldx                        |        | Pocket Gal Deluxe (Europe v3.00)                                                                                                                                       |                         | 1992        | Data East Corporation                                           | DECO IC16                      |                                                                                     |
| pktgaldxb                       | D NW   | Pocket Gal Deluxe (Europe v3.00, bootleg)                                                                                                                              | pktgaldx                | 1993        | bootleg (Data West)                                             | DECO IC16                      |                                                                                     |
| pktgaldxj                       |        | Pocket Gal Deluxe (Japan v3.00)                                                                                                                                        | pktgaldx                | 1993        | Data East Corporation (Nihon System license)                    | DECO IC16                      |                                                                                     |
| pgalvip                         |        | Pocket Gals V.I.P (set 1)                                                                                                                                              |                         | 1996        | ACE International / Afega                                       | EXPRO-02                       |                                                                                     |
| pgalvipa                        |        | Pocket Gals V.I.P (set 2)                                                                                                                                              | pgalvip                 | 1997        | <unknown>                                                       | EXPRO-02                       |                                                                                     |
| gg_pocketj                      |        | Pocket Jansou (Japan)                                                                                                                                                  |                         | 1992        | Namcot                                                          | Sega Game Gear                 |                                                                                     |
| ngp_poktlove                    |        | Pocket Love if (Japan)                                                                                                                                                 |                         | 1999        | KID                                                             | NeoGeo Pocket Color            |                                                                                     |
| md_pokemona                     |   NW   | Pocket Monsters (Alt) (Unl)                                                                                                                                            | md_pokemon              | 2000        | X-boy, Chuanpu                                                  | Sega Megadrive                 |                                                                                     |
| md_pokemon                      |        | Pocket Monsters (Unl)                                                                                                                                                  |                         | 2000        | X-boy, Chuanpu                                                  | Sega Megadrive                 |                                                                                     |
| md_pokemon2                     |        | Pocket Monsters 2 (Unl)                                                                                                                                                |                         | 2001        | X-boy, Chuanpu                                                  | Sega Megadrive                 |                                                                                     |
| ngp_pockrev                     |        | Pocket Reversi (Euro)                                                                                                                                                  |                         | 2000        | SNK                                                             | NeoGeo Pocket Color            |                                                                                     |
| ngp_pockrevj                    |        | Pocket Reversi (Japan)                                                                                                                                                 | ngp_pockrev             | 2000        | Success                                                         | NeoGeo Pocket Color            |                                                                                     |
| ngp_bstarsc                     |        | Pocket Sport Series - Baseball Stars Color (World)                                                                                                                     |                         | 1999        | SNK                                                             | NeoGeo Pocket Color            |                                                                                     |
| ngp_neoturfm                    |        | Pocket Sport Series - Big Tournament Golf ~ Neo Turf Masters (World)                                                                                                   |                         | 1999        | SNK                                                             | NeoGeo Pocket Color            |                                                                                     |
| ngp_neocuppl                    |        | Pocket Sport Series - Neo Geo Cup '98 Plus (World)                                                                                                                     |                         | 1999        | SNK                                                             | NeoGeo Pocket Color            |                                                                                     |
| ngp_neoproyk                    |        | Pocket Sport Series - Neo Poke Pro Yakyuu (Japan)                                                                                                                      |                         | 1999        | SNK                                                             | NeoGeo Pocket Color            |                                                                                     |
| ngp_ptennisc                    |        | Pocket Sport Series - Pocket Tennis Color (World)                                                                                                                      |                         | 1999        | SNK                                                             | NeoGeo Pocket Color            |                                                                                     |
| ngp_bstars                      |        | Pocket Sports Series - Baseball Stars (Euro, Japan)                                                                                                                    |                         | 1998        | SNK                                                             | NeoGeo Pocket                  |                                                                                     |
| ngp_neocup98                    |        | Pocket Sports Series - Neo Geo Cup '98 (Euro, Japan)                                                                                                                   |                         | 1998        | SNK                                                             | NeoGeo Pocket                  |                                                                                     |
| ngp_ptennis                     |        | Pocket Sports Series - Pocket Tennis (Euro, Japan)                                                                                                                     |                         | 1998        | SNK                                                             | NeoGeo Pocket                  |                                                                                     |
| nes_pockezau                    |        | Pocket Zaurus - Juu Ouken no Nazo (Japan)                                                                                                                              |                         | 1987        | Bandai                                                          | Miscellaneous                  |                                                                                     |
| snes_pockyrocky                 |        | Pocky & Rocky (USA)                                                                                                                                                    |                         | 1993        | Natsume                                                         | Nintendo                       |                                                                                     |
| snes_pockyrocky2                |        | Pocky & Rocky 2 (USA)                                                                                                                                                  |                         | 1994        | Natsume                                                         | Nintendo                       |                                                                                     |
| nes_pocohontos                  |   NW   | Pocohontos (China) (Unl)                                                                                                                                               | nes_pocahontas          | 1997        | Hosenkan Electronics                                            | Miscellaneous                  |                                                                                     |
| msx_podero                      |        | Poder Oscuro, El (Euro, Spanish)                                                                                                                                       |                         | 1988        | Zigurat Software                                                | MSX                            |                                                                                     |
| spec_pogo                       |        | Pogo (48K)                                                                                                                                                             |                         | 1984        | Ocean                                                           | ZX Spectrum                    |                                                                                     |
| nes_pogocats                    |        | Pogo Cats (HB)                                                                                                                                                         |                         | 2012        | YGGI                                                            | Miscellaneous                  |                                                                                     |
| ptblank                         |        | Point Blank (World, GN2 Rev B, set 1)                                                                                                                                  |                         | 1994        | Namco                                                           | NB-1 / NB-2                    |                                                                                     |
| ptblanka                        |        | Point Blank (World, GN2 Rev B, set 2)                                                                                                                                  | ptblank                 | 1994        | Namco                                                           | NB-1 / NB-2                    |                                                                                     |
| poittoc                         |   NW   | Poitto! (revision C)                                                                                                                                                   | poitto                  | 1993        | Metro / Able Corp.                                              | Miscellaneous                  |                                                                                     |
| poitto                          |        | Poitto! (revision D)                                                                                                                                                   |                         | 1993        | Metro / Able Corp.                                              | Miscellaneous                  |                                                                                     |
| md_pokecda                      |        | Pokemon Crazy Drummer (Alt) (Unl)                                                                                                                                      | md_pokecd               | 2003        | Tomsoft                                                         | Sega Megadrive                 |                                                                                     |
| md_pokecd                       |        | Pokemon Crazy Drummer (Unl)                                                                                                                                            |                         | 2003        | Tomsoft                                                         | Sega Megadrive                 |                                                                                     |
| md_pokestad                     |        | Pokemon Stadium (China) (Unl)                                                                                                                                          |                         | 200?        | SKOB                                                            | Sega Megadrive                 |                                                                                     |
| pokrdice                        |        | Poker Dice (V1.7)                                                                                                                                                      |                         | 1991        | Strata / Incredible Technologies                                | Miscellaneous                  |                                                                                     |
| gg_pokerfbj                     |        | Poker Face Paul's Blackjack (USA)                                                                                                                                      |                         | 1994        | Adrenalin - Sega                                                | Sega Game Gear                 |                                                                                     |
| gg_pokerfp                      |        | Poker Face Paul's Poker (USA)                                                                                                                                          |                         | 1994        | Adrenalin - Sega                                                | Sega Game Gear                 |                                                                                     |
| gg_pokerfs                      |        | Poker Face Paul's Solitaire (USA)                                                                                                                                      |                         | 1994        | Adrenalin - Sega                                                | Sega Game Gear                 |                                                                                     |
| gg_pokerfg                      |        | Poker Faced Paul's Gin (USA)                                                                                                                                           |                         | 1994        | Adrenalin - Sega                                                | Sega Game Gear                 |                                                                                     |
| pkladiesla                      |        | Poker Ladies (Leprechaun ver. 401)                                                                                                                                     | pkladies                | 1989        | Leprechaun                                                      | Miscellaneous                  |                                                                                     |
| pkladiesl                       |        | Poker Ladies (Leprechaun ver. 510)                                                                                                                                     | pkladies                | 1989        | Leprechaun                                                      | Miscellaneous                  |                                                                                     |
| pkladies                        |        | Poker Ladies                                                                                                                                                           |                         | 1989        | Mitchell                                                        | Miscellaneous                  |                                                                                     |
| poknight                        |        | Poker Night (HB)                                                                                                                                                       |                         | 199?        | Jeff Kurtz                                                      | Neo Geo MVS                    |                                                                                     |
| snes_pokonyan                   |        | Pokonyan! - Henpokorin Adventure (Japan)                                                                                                                               |                         | 1994        | Toho Co.                                                        | Nintendo                       |                                                                                     |
| pokonyan                        |        | Pokonyan! Balloon (Japan 940322)                                                                                                                                       |                         | 1994        | Capcom                                                          | CPS1                           |                                                                                     |
| msx_polstar                     |        | Polar Star (Japan)                                                                                                                                                     |                         | 1984        | Micro Cabin                                                     | MSX                            |                                                                                     |
| spec_poleposa                   |        | Pole Position (48K)                                                                                                                                                    |                         | 1984        | Atarisoft                                                       | ZX Spectrum                    | Up or down to shift gear, fire button to brake                                      |
| spec_poleposcvg                 |        | Pole Position (C&VG) (48K)                                                                                                                                             |                         | 1984        | Computer & Video Games                                          | ZX Spectrum                    |                                                                                     |
| spec_polidiaz                   |        | Poli Diaz (Spanish) (128K)                                                                                                                                             |                         | 1990        | Opera Soft                                                      | ZX Spectrum                    |                                                                                     |
| msx_polacad                     |        | Police Academy (Euro)                                                                                                                                                  |                         | 1986        | Eaglesoft                                                       | MSX                            |                                                                                     |
| msx_polacad2                    |        | Police Academy II (Euro)                                                                                                                                               |                         | 1987        | Methodic Solutions                                              | MSX                            |                                                                                     |
| msx_policedog                   |        | Police Dog (Japan)                                                                                                                                                     |                         | 1983        | Hudson Soft                                                     | MSX                            |                                                                                     |
| nes_policeman                   |        | Policeman (Unl)                                                                                                                                                        |                         | 1992        | Micro Genius                                                    | Miscellaneous                  |                                                                                     |
| polluxn                         |        | Pollux (Japan, NTC license, distributed by Atlus)                                                                                                                      | pollux                  | 1991        | Dooyong (NTC / Atlus license)                                   | Miscellaneous                  |                                                                                     |
| pollux                          |        | Pollux (set 1)                                                                                                                                                         |                         | 1991        | Dooyong                                                         | Miscellaneous                  |                                                                                     |
| polluxa                         |        | Pollux (set 2)                                                                                                                                                         | pollux                  | 1991        | Dooyong                                                         | Miscellaneous                  |                                                                                     |
| polluxa2                        |        | Pollux (set 3)                                                                                                                                                         | pollux                  | 1991        | Dooyong                                                         | Miscellaneous                  |                                                                                     |
| pompingw                        |        | Pomping World (Japan)                                                                                                                                                  | pang                    | 1989        | Mitchell                                                        | Miscellaneous                  |                                                                                     |
| msx_ponpon                      |        | Pon Pon (HB, v1.51)                                                                                                                                                    |                         | 2022        | Hiromasa Tanaka                                                 | MSX                            |                                                                                     |
| ponpokov                        |        | Ponpoko (Venture Line)                                                                                                                                                 | ponpoko                 | 1982        | Sigma Enterprises Inc. (Venture Line license)                   | Pac-man                        |                                                                                     |
| ponpoko                         |        | Ponpoko                                                                                                                                                                |                         | 1982        | Sigma Enterprises Inc.                                          | Pac-man                        |                                                                                     |
| msx_poogaboo                    |        | Poogaboo (Euro, Spanish)                                                                                                                                               |                         | 1991        | Opera Soft                                                      | MSX                            | Use Cursor Keys and SPACE in the options menu                                       |
| spec_pooperscooper              |        | Pooper Scooper (128K) (HB)                                                                                                                                             |                         | 2018        | The Death Squad                                                 | ZX Spectrum                    |                                                                                     |
| poosho                          |        | Poosho Poosho                                                                                                                                                          |                         | 1999        | F2 System                                                       | Miscellaneous                  |                                                                                     |
| pootan                          |        | Pootan                                                                                                                                                                 | pooyan                  | 1982        | bootleg                                                         | GX320                          |                                                                                     |
| cv_pooyan                       |        | Pooyan (HB)                                                                                                                                                            |                         | 2010        | Dvik & Joyrex                                                   | ColecoVision                   | Published by CollectorVision Games                                                  |
| msx_pooyan                      |        | Pooyan (Japan)                                                                                                                                                         |                         | 1985        | Hudson Soft                                                     | MSX                            |                                                                                     |
| nes_pooyan                      |        | Pooyan (Japan)                                                                                                                                                         |                         | 1985        | Hudson Soft                                                     | Miscellaneous                  |                                                                                     |
| sms_pooyan                      |        | Pooyan (Korea)                                                                                                                                                         |                         | 19??        | HiCom                                                           | Sega Master System             |                                                                                     |
| pooyans                         |        | Pooyan (Stern Electronics)                                                                                                                                             | pooyan                  | 1982        | Konami (Stern Electronics license)                              | GX320                          |                                                                                     |
| pooyan                          |        | Pooyan                                                                                                                                                                 |                         | 1982        | Konami                                                          | GX320                          |                                                                                     |
| popbounc                        |        | Pop 'n Bounce / Gapporin                                                                                                                                               |                         | 1997        | Video System Co.                                                | Neo Geo MVS                    |                                                                                     |
| popbingo                        |        | Pop Bingo                                                                                                                                                              |                         | 1996        | Dooyong                                                         | Miscellaneous                  |                                                                                     |
| gg_popbreak                     |        | Pop Breaker (Japan)                                                                                                                                                    |                         | 1991        | Micro Cabin                                                     | Sega Game Gear                 |                                                                                     |
| popflamen                       |        | Pop Flamer (bootleg on Naughty Boy PCB)                                                                                                                                | popflame                | 1982        | Jaleco                                                          | Miscellaneous                  |                                                                                     |
| sg1k_popflame                   |        | Pop Flamer (Euro, Japan)                                                                                                                                               |                         | 1983        | Sega                                                            | Sega SG-1000                   |                                                                                     |
| popflameb                       |        | Pop Flamer (hack?)                                                                                                                                                     | popflame                | 1982        | Jaleco                                                          | Miscellaneous                  |                                                                                     |
| popflamea                       |        | Pop Flamer (not protected)                                                                                                                                             | popflame                | 1982        | Jaleco                                                          | Miscellaneous                  |                                                                                     |
| popflame                        |        | Pop Flamer (protected)                                                                                                                                                 |                         | 1982        | Jaleco                                                          | Miscellaneous                  |                                                                                     |
| sg1k_popflamet                  |        | Pop Flamer (Taiwan)                                                                                                                                                    | sg1k_popflame           | 1983?       | Aaronix                                                         | Sega SG-1000                   |                                                                                     |
| popnpopu                        |        | Pop'n Pop (Ver 2.07A 1998/02/09)                                                                                                                                       | popnpop                 | 1997        | Taito Corporation                                               | Taito F3 System                |                                                                                     |
| popnpopj                        |        | Pop'n Pop (Ver 2.07J 1998/02/09)                                                                                                                                       | popnpop                 | 1997        | Taito Corporation                                               | Taito F3 System                |                                                                                     |
